15,zh,真是虫混和它们祖先虫类真是天生一致直把他乡做故土的寄生虫还大言不惭说它是我过人从这片土地的记忆里就从来没有昆虫纲国际鬼子虫类及其它们后代虫混。,真是外国的混血儿和它们祖先外国人真是天生一致直把他乡做故土的依赖他人的人还大言不惭说它是我过人从这片土地的记忆里就从来没有让我感到不喜欢的外国人及其它们后代混血儿。,真是虫混和它们祖先虫类真是天生一致直把他乡做故土的寄生虫还大言不惭说它是我过人从这片土地的记忆里就从来没有昆虫纲国际鬼子类及其它们后代。
16,am,ከሀዲ ሌባ የእናት ጡት ነካሽ ዘረኛ የአንተ ድረጅት የጨፈጨው ሳይታይህ አሁን እሪ ትላለህ አምላክ የእጅህን ይሰጠሀል።ኢትዮጲያ እንደ አንተ አይነቱን ርኩስ አትፈልግም,የአንተ ድረጅት የፈጠረዉ ችግር ሳይታይህ ቀርቶ ነው አሁን እንዲህ የምትለው፡ አምላክ ፍርዱን ይስጥ,ሰጠህ አምላክ የእጅህን ይሰጠሀል።ኢትዮጲያ እንደ አንተ አይነቱን ርኩስ አትፈልግም
17,ru,очистите страну от всей этой швали,очистите страну от всех плохих вещей,очистите страну от всей швали
18,ru,"а казну пополнять то,надо! не даром выплаты на детей были!!! сволота поганая","а казну пополнять то,надо! не даром выплаты на детей были!!!","а казну пополнять то,надо! не даром выплаты на детей были!!! сволота поганая"
19,am,እሱን የፈጠረች ያልታደለች እናት አረመኔ ሰው ትፍጠር ??,ልበ ደንዳና የሆነ ሰው የእሱ ወላጅ መሆንም ያሳዝናል,<extra_id_0>ሱን ፈጠረች ያልታደለች እናት አረመኔ ሰው ትፍጠር ??
20,zh,你们的武士道精神呢？一刀劈S这个嘿蛆,你们的武士道精神呢？一刀劈死****,你们的武士道精神呢?一刀劈S这个嘿蛆
21,hi,ये ममता भेन के लवडी तेरे गांड मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखादे,ये ममता तेरे मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखा दे,<extra_id_0> ये ममता भेन के लवडी तेरे गांड मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखादे
22,am,ፍርፋሪ ጣይ ብቶንማ አፈር በልተህ ነበር።እከክ ነገር ነህ አንተን ብሎ ተሳዳቢ ደደብ።,ለትንሽ ነው ከአደጋ ያመለጥከው፤ ትርፍ ቃል መናገርም ከአንተ አይጠበቅም፡፡,ፍርፋሪ ጣይ ብቶንማ አፈር በልተ ነበር።እከክ ነገር ነህ አንተን ብሎ ተሳዳቢ ደደብ።
23,de,"Es ist unglaublich dieses Politische Pack posaunt in die Welt hinaus es können 220.000 plus die, d zusätzlich kommen in unser Land strömen","Es ist unglaublich diese Politiker posaunen in die Welt hinaus es können 220.000 plus die, d zusätzlich kommen in unser Land strömen",<extra_id_0> ist unglaublich dieses Politische Pack posaunt in die Welt hinaus es können 220.000 die Welt hinaus kommen in unser Land strömen
24,uk,"Ти чо, ахурмєл так базаріть, дядя?","Ти чо взагалi так казати, дядя?","<extra_id_0> ти чо, ахурмєл так базаріть, дядя?"
25,uk," ні, це дає тобі право посилати їх нахуй!","ні, це дає тобі право посилати їх","<extra_id_0>, це дає тобі право посилати їх нахуй!"
26,zh,女拳***,极端女权主义者***,女拳***
27,am,አማራ ክልል የሚሰበሰበው ባለስልጣን ለምን ይሆን ተላላኪና ንክ የሆነው። አበረ የሚሉት የፓሊስ ኮሚሽነር የቀረው እኮ ክላሽ ይዞ ስቲዲዮ ውስጥ አሳምነው ገዳይ ብሎ መሸለል ነው። ስንት ከብት አለ።,አማራ ክልል ውስጥ ያሉ የመንግስት ሹሞች ችግር ያለባቸው ነው የሚመስለኝ፡፡ የፓሊስ ኮሚሽነሩ ስቲዲዮ ውስጥ  መሸለል የሚቃጣው ነወ የሚመስለው።,<extra_id_0> የፓሊስ ኮሚሽነር የቀረው እኮ ክላሽ ይዞ ስቲዲዮ ውስጥ አሳምነው ገዳይ ብሎ መሸለል ነው። ስንት ከብት አለ።
28,es,Ya decía yo que veía menos moros,Ya me había dado cuenta que veía menos personas de origen magrebí,ảnía yo que veía menos moros
29,ru,"дураком прикинулся,тут помню , тут не помню козёл.","Глупым человеком прикинулся: то помнит, тоне помнит.","','тут помню , тут не помню козёл."
30,hi,रात को भेनचोद दारु के साथ मिक्सिंग में राखी सावंत के वीडियोस देख के ये हालत हुई है इसकी...,रात को दारू के साथ अश्लील वीडियोस देख के ये हालत हुई है इसकी...,<extra_id_0> को भेनचोद दारु के साथ मिक्सिंग में राखी सावंत के वीडियोस देख के ये हालत हुई है इसकी...
31,de,"Endlich, Trump streicht dem CIA die Gelder, die seit 1945 für weltweite Kriege sorgten - logisch, dass Merkel und Flintenuschi jaulen 💩","Endlich, Trump streicht dem CIA die Gelder, die seit 1945 für weltweite Kriege sorgten - logisch, dass Merkel und Von der Leyen jaulen","<extra_id_0> Trump streicht dem CIA die Gelder, die seit 1945 für weltweite Krieg sorgten - logisch, dass Merkel und Flintenuschi jaulen 💩"
32,zh,"都是原干的,女拳跟原比起来算什么","都是原干的,极端女权主义者跟原比起来算什么","都是原干的,女拳跟原比起来算什么"
33,am,ፈሪ ለናቱ ያልክ ትመስላለሕ ፤ ዜና ወዲሕ ጋዜጠኛ ወዲያ ይሏል። አቅምን አውቆ መጣፍ ጥሩ ነው ጋብዜሃለው ጋሽ ኤልያስ ኮንሰርት ምናምኑን ዘግብ,ጋዜጠኛ እውነተኛ ዜናን ለመስራት ፍርሀት ሊገባው አይገባም፡፡,ወዲያ ይሏል። አቅምን አውቆ መጣፍ ጥሩ ነው ጋብዜሃለው ጋሽ ኤልያስ ኮንሰርት ምናምኑን ዘግብ
34,en,that ignorant failure isnt qualified for any public office .,he is not qualified for any public office.,<extra_id_0>nt qualified for any public office
35,am,አብይ አህመድ ጭንቅላትህን አሰራውስንትካንተ የሚበልጡ ሙሁሮች አሉ ሙሮቹን እንደደደብ ባትቆጥር ጥሩ ነውጥንት ግዜ እንዳይመስልህ ቴክሌለጂው እንኳን ሙሁሩን ያልተማረውን ህዝብ ቀይሮል,መንግስት ለሀገር የሚጠቅም ሀሳብ ሊያመጡ የሚችሉ ምሁራኖችን አቅርቦ ማናገርና አብሮ መስራትን መልመድ አለበት፡፡,ጭንቅላትህን አሰራውስንትካንተ የሚበልጡ ሙሁሮች አሉ ሙሮቹን እንደደደብ ባትቆጥር ጥሩ ነው
36,uk,"*бальной ублюдак*але ж це все цікаве розкриває, чувак!","*божевільна людина*але ж це все цікаве розкриває, чувак!","<extra_id_0> це все цікаво розкриває, чувак!"
37,ru,"и ты , ебанушка меня хочешь чему то учить ?",и ты меня хочешь чему то учить ?,"<extra_id_0> ты , ебанушка меня хочешь чему то учить?"
38,de,da ist sie ja wieder die Moderatorin der @USER_0 mit der alten schwarzen Schmodder Hose und den fettigen Haaren #WDR,da ist sie ja wieder die Moderatorin der @USER_0 mit der alten schwarzen Hose und den fettigen Haaren #WDR,<extra_id_0> ist sie ja wieder die Moderatorin der @USER_0 mit den fettigen Haaren #WDR
39,hi,खुद का खून जला जला कर ये एनामिक होने को पूरी तरह से ततपर दिखते है,बात बात पर गुस्सा होने को पूरी तरह से ततपर दिखते है ,व खुद का खून जला जला कर ये ततपर दिते हैं
40,es,a ti no catalán cabron jajaja! Esta champions es vuestra y del bayer xd,a ti no catalán jajaja! Esta champions es vuestra y del bayer xd,<extra_id_0> esta champions es vuestra y del bayer xd
41,zh,不打拳没必要如果是个拳师往4里喷,不发表极端性别言论没必要如果是个极端性别主义者使劲喷,不打拳没必要如果是个拳师往4里喷
42,ar,نعم، إذا كان لديك أشخاص آخرين للقيام بذلك يا أحمق.,نعم إذا كان لديك أشخاص آخرين للقيام بذلك.,<extra_id_0>، إذا كان لديك أشخاص آخرين للقيام بذلك يا أحمق.
43,de,Wer die Grünen wählt ist entweder dumm oder ein Hurensohn,Wer die Grünen wählt ist entweder uninformiert oder naiv,<extra_id_0> Wer die Grünen wählt ist entweder dumm oder ein Hurensohn
44,es,"Pues si, es una puta mierda, DEP por ellos.","Pues si, es horrible","<extra_id_0> si, es una puta mierda, DEP por ellos"
45,en,"You're not being helpful, either, tiny-dick.","You're not being helpful, either.","<extra_id_0> You're not being helpful, either, tiny-dick"
46,ar,وماذا قدم في مشوار البطولة يا عبقرينوا سوي مباراة واحده كانت هزيمة وحيدة يا جحش ؟ ولكني ساحترمك,وماذا قدم في مشوار البطولة يا عبقرينوا سوي مباراة واحده كانت هزيمة وحيدة؟ ولكني ساحترمك,<extra_id_0> ماذا قدم في مشوار البطولة يا عبقرينوا سوي مباراة واحده كان هزيمة وحيدة يا جحش ؟ ولكني ساحترمك
47,en,it sucks that youre an awful person .,It hurts that you have a bad character,sucks that youre an awful person
48,ar,دي قلة ادب جديدة ولا شنو ؟؟ لعنة الله عليكم اجمعين ما تسوقون بهكذا افكار وأساليب تخدم اجندة بنو علمان واشباه الرجال ..,دي قلة ادب جديدة ولا شنو ؟؟ ما تسوقون بهكذا افكار وأساليب تخدم اجندة بنو علمان واشباه الرجال ..,<extra_id_0> ما تسوقون بهكذا افكار وأساليب تخدم اجندة بنو علمان واشباه الرجال ..
49,hi,तेरी मां का भोसड़ा जिस धोनी के नाम पर उछल रहा है ना उस धोनी को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर,जिस धोनी के नाम पर उछल रहे हो ना उस धोनी को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर,<extra_id_0> को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर
50,ar,لا تعتب عليه هيدا اسمه ابو صرماي,لا تعتب عليه هيدا اسمه ابو فلان,القدرة لا تعتب عليه هيدا اسمه ابو صرماي
51,ru,она как будто хуй проглотила,она как будто дар речи потеряла,<extra_id_0> она она будто будто
52,hi,खैर दीदी आपसे नही हो पाएगा अपने मालिक की गलतियां तलचट्टो का कहाँ दिखाई देती है?,खैर दीदी आपसे नहीं हो पाएगा अपने मालिक में गलती आप कैसे निकाल पाएंगे बिना निष्पक्ष हुए ?,बिना हो पाएगा अपने मालिक की गलतियां तलचट्टो का कहाँ दिखाई देती है?
53,am,የኔ ብቻ የተዘጋ መስሎኝ ሁላችንንም ነው እንዴ የሞከረን አብሽሮ ሌላ አካውንት በርግደን እንቃወመዋለን የዲቃላልጅሞኝክንፈልግ,የኔ ብቻ የተዘጋ መስሎኝ ሁላችንንም ነው እንዴ የተዘጋው አብሽሮ ሌላ አካውንት ከፍተን እንተቀማለን,ሁላችንንም ነው እንዴ የሞከረን አብሽሮ ሌላ አካውንት በርግደን እንቃወመዋለን የዲቃላልጅሞኝ
54,de,Dieser Hank ist wirklich ein Honk.,Dieser Hank ist wirklich komisch.,<extra_id_0> ist echt ein Honk
55,de,"Weil der LINKE SCHEIß das alles darf,hetzen,denunzieren,verleumden,kahanen,lügen,betrügen,Menschen attackieren und bald auch schießen.☠️😡☠️","Weil die LINKE das alles darf,aufbringen,melden,verleumden,lügen,betrügen,Menschen attackieren und bald auch schießen.☠️😡☠️","weil der LINKE SCHEIß das alles darf,hetzen,denunzieren,verleumden,lügen,betrügen,Menschen attackieren und bald auch schießen☠️😡☠️"
56,uk,"І бля, їхала сюди - то мала роботу.","І, їхала сюди - то мала роботу.","<extra_id_0>, їхала сюди - то мала роботу."
57,uk,"бля, це ж твіт лів",це ж твіт лів,"<extra_id_0>, це ж твіт лів"
58,es,Luego se queja Neymar... valiente subnormal.,Entonces Neymar se queja... valiente y extraño.,<extra_id_0>ego se queja Neymar valiente subnormal.
59,ar,هذول شراميط اعطينا اخبار الفقراء والايتام والعجزهه,هذول فاسدين اعطينا اخبار الفقراء والايتام والعجزهه,هذول شراميط اعطينا اخبار الفقراء والايتام والعجزهه
60,ar,اقول لا تحتك بالاصفر الكبير الاتحاد لوحدة كبير والبقية جنبه اقزام,اقول لا تحتك بالاصفر الكبير الاتحاد لوحدة كبير والبقية جنبه صغار,<extra_id_0> اقول بالاصفر والبقية والبقية
61,ar,مصيرنا ندعسكم في كل مكان ولو كانت مواجه مباشره لاعطيناكم دروس…,صيرنا نغلبكم في كل مكان ولو كانت مواجه مباشره لاعطيناكم دروس…,ندعسكم في كل مكان ولو كان مواجه مباشرة لاعطيناكم دروس
62,es,"This. Que puto asco de respuestas, sois repulsivos",This. Que mala respuesta,"',' Que puto asco de respuestas, sois repulsivos"
63,hi,बहनचोद कमीने काले मूह के तेरी गांड में खुजली क्यू नहि हो रही,तुम इसके विरोध में क्यू नहि हो रही,काले मूह के तेरी गांड में खुजली क्यू नहि हो रही
64,ru,"гандон, который поработил народ, который в него верит","Он поработал народ,который в него верит",<extra_id_0> человек который его поработил народ который он не работал.
65,zh,我们是成分复杂的多元小群，包括但不限于二次元嘉心糖纯良路人抗蛆孙吧,我们是成分复杂的多元小群，包括但不限于二次元嘉心糖纯良路人对黑人有负面情绪孙吧,"我们是成分复杂的多元小群,包括但不限于二次元嘉心糖纯良路人抗蛆孙吧"
66,uk,А всюди йобаний натовп з йобаними руками.,А всюди натовп з руками,а всюду йобаний натовп
67,zh,不在中国地盘繁殖混种默，一切都好,不在中国地盘繁殖混血黑人后代，一切都好,"不在中国地盘繁殖混种默,一切都好"
68,uk,спизди там рюмку для мене :D,вкради там рюмку для мене :D,<extra_id_0> не спизди там рюмку для меня :D
69,ar,عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣,عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣,🤣 🤣
70,uk,пмс - це ніхуя не весело,Пмс це взагалі не весело,ніхуя не весело
71,zh,帅个屁，你这是什么审美，或者阁下也是黑猩猩？,帅什么，你这是什么审美，或者你也是黑人？,"帅个屁,你这是什么审美,或者阁下也是黑猩猩?"
72,ar,إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني,إجمع مالاً بقدر ما تستطيع ، لا تكن مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني,<extra_id_0> كل شيء سهل بالمال ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال بُني
73,hi,"किसी से धक्का मुक्की तो करो, ये सूखा सूखा मैच मजा नहीं आ रहा है मादरचोद!","किसी से धक्का मुक्की तो करो, ये सूखा सूखा मैच मजा नहीं आ रहा है!","<extra_id_0> किसी से धक्का मुक्की तो करो, ये सूखा सूखा मैच मजा नहीं आ रहा है मादरचोद!"
74,en,"i thought world leader just picked random shit to do , thank you for informing us ! .","I thought world leader just picked a random things to do ,thank you for informing us!.","<extra_id_0> thought world leader just picked random shit to do , thank you for informing us !"
75,hi,"सचाई ज़रूरी है, लेकिन तुमसे उमीद क्या करूँ नीच","सचाई ज़रूरी है, लेकिन तुमसे उमीद क्या करूँ","',' लेकिन तुमसे उमीद क्या करूँ नीच"
76,ru,какой то дебил прикрепил кота к подстилке. хозяева дауны,"Какой-то человек, прикрепил кота к подстилке, хозяева уже совсем того",<extra_id_0> прикрепил кота к подстилке. хозяева дауны
77,am,ሰው በላው አውሬ ጀነራል አብርሃ ወልደማርያም (ኳርተር) ለዘላለሙ አሸልቧል::,ጀነራል አብርሃ ወልደማርያም (ኳርተር) ህይወቱ አልፏል፡፡,ሰው በላው አውሬ ጀነራል አብርሃ ወልደማርያም (ኳርተር)
78,en,most of the information is total garbage .,most of the information is total waste,<extra_id_0> most of the information is total garbage
79,uk,"Знайому запросили гуляти двоє пацанів.Один - крутий чувак, з афігєнним почуттям гумору, інший - егоїстичне мудло.","Знайому запросили гуляти двоє пацанів.Один - крутий чувак, з афігєнним почуттям гумору, інший - егоїст.","<extra_id_0> запросили гуляти двоє пацанів.Один - крутий чувак з афігєнним почуттям гумору, інший - егоїстичне мудло."
80,de,So dumm wie Gutmenschen halt sind!,So schlau wie Gutmenschen halt sind!,<extra_id_0> wie Gutmenschen halt sind
81,zh,舔黑的人在增多，舔狗也在增多，国内有些女的快被舔到天上去了,讨好黑人的人在增多，单方面付出的人也在增多，国内有些女的快被讨好到天上去了,"舔黑的人在增多,舔狗也在增多,国内有些女的快被舔到天上去了"
82,ar,دس السم في العسل عليكم لعنة الله,دس السم في العسل,القدرة في العسل عليكم لعنة الله
83,en,Kind of a stupid response given the name of the article.,Kind of a not meaningful response given the name of the article.,<extra_id_0> Kind of a stupid response given the name of the article
84,de,Die deutsche Lügenpresse und Nazi Medien sind nur noch zum kotzen 🤢 schlimmer als Göbbels eben alle samt Vasallen Merkels!!,"Die deutsche Presse und Medien sind nur noch schlecht, eben alle samt Unterstützer Merkels!!",deutsche Lügenpresse und Nazi Medien sind nur noch zum kotzen 🤢 schlimmer als Göbbels eben alle samt Vasallen Merkels!!
85,es,Ahora me leo la secta que seguro que amplian información,Voy a leer el artículo para obtener más información.,<extra_id_0> me leo la secta que seguro que amplian información
86,zh,通讯录也不是什么好东西,我个人觉得同性恋者也不是特别好,通讯录也不是什么好东西
87,en,republicans and democrats are the right and left cheeks of the same ass .,Republicans and democrats are in the same League,<extra_id_0> republicans and Democrats are the right and left cheeks of the same ass .
88,hi,अबे दर हरामी केजरी सरकार के हाथ मैं नही होता अरेस्ट करना,अबे केजरी सरकार के हाथ मैं नही होता अरेस्ट करना,बिना दर हरामी सरकार के हाथ मैं नही होता अरेस्ट करना
89,zh,很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你他妈今天的午饭就是在猪槽里吃了,很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你今天的午饭就是在猪槽里吃了,很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你他妈今天的午饭就是在猪槽里吃了
90,ru,ты рф живешь и грязтю россию полеваеш.хуйло,ты рф живешь и грязью россию полеваеш.,рф живешь и грязтю россию полеваеш
91,es,Quien putas está RT esa mierda ?,Quien está RT esto?,<extra_id_0> Quien putas está RT esa mierda ?
92,de,Murksel und ihre Unchristen stehen für Konfrontation gegen Russland und einen möglichen Krieg. Und den überleben auch Wahlschafe nicht 😜,Merkel und ihre Unchristen stehen für Konfrontation gegen Russland und einen möglichen Krieg. Und den überleben auch Wähler nicht 😜,<extra_id_0> ihre Unchristen stehen für Konfrontation gegen Russland und einen möglichen Krieg. Und den überleben auch Wahlschafe nicht.
93,am,እውነት ካለህ እኮ ምንም ኣግዙኝ እርዱኝ ማለት አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: ለእንዳንተ ዉሸት ቀለቡ ግን ዕዉነትም ሲነግሩት ኣይዋጥለጥም,እውነት ካለህ እኮ ምንም ሌላ ተጨማሪ እርዳታ መጠየቅ አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: በእውነት የማታምን ከሆነ ግን እውነትም ቢነግሩህ ላይዋጥልህ ይችላል፡፡,<extra_id_0> እውነት ካለህ እኮ ምንም ኣግዙኝ እርዱኝ ማለት አያስፈልግም:: ለእንዳንተ ዉሸት ቀለቡ ግን ዕዉነትም ሲነግሩት ኣይዋጥለም
94,hi,मोदी सूअर का पीला भी तो चुप है ,मोदी भी तो चुप है,'' मोदी सूअर पीला भी तो तो तो मोदी सूअर
95,zh,看来你就是答主说的那类人了吧，??以后分手了再找别隐瞒你找黑人的历史哦,看来你就是答主说的那类人了吧，??以后分手了再找要提及你找黑人的历史哦,"看来你就是答主说的那类人了吧,??以后分手了再找别隐瞒你找黑人的历史哦"
96,ar,اثنين من المجانين يحاولون إظهار من حصل على الشيء الأكبر!,شخصان غير مناسبين يحاولان إظهار من هو الأفضل,<extra_id_0> اثنين من المجانين يحاولون إظهار من حصل على الشيء الأكبر!
97,ar,جيد، لا تدع الباب يضربك في مؤخرتك بينما تترك هذه المحادثة يا سيد,جيد، لا تدع الباب يضربك بينما تترك هذه المحادثة يا سيد,<extra_id_0>، لا تدع يضربك في مؤخرتك بينما تترك هذه المحادثة يا سيد
98,uk,Найкращі ультрас - дівчата з РГМ.,Найкращі ультрас - дівчата з РГМ.,<extra_id_0> - дівчата з РГМ.
99,uk,"Ця спека думає, шо змусить мене вдіти майку з шортами, але хуй там пєл.","Ця спека думає, шо змусить мене вдіти майку з шортами, але ні вже.","<extra_id_0> змусить мене вдіти майку з шортами, але хуй там пєл."
100,uk,"Краще здохнути, ніж визнати, що всрався.","Краще померти, ніж визнати, що помилився.","<extra_id_0> здохнути ніж визнати, що всрався."
101,de,Wie dämlich sind Sie eigentlich? Sie sollten ihre Allgemeinbildung vervollständigen und Objektivität walten lassen. 🤢,Wie uninformiert sind Sie eigentlich? Sie sollten ihre Allgemeinbildung vervollständigen und Objektivität walten lassen. 🤢,<extra_id_0> Sie sollten ihre Allgemeinbildung vervollständigen und Objektivität walten lassen. 🤢
102,ru,этот козел отменил пособия на детей матерям одиночкам,Он отменил пособия на детей матерям одиночкам,онез этот человек отменил пособия на детей матерям одиночкам
103,ar,عاش حياة فارغة وبائسة .,عاش حياة فارغة ومثيرة للشفقة.,عاش حياة فارغة وبائسة
104,am,እንዴ ማህዚ ከሙፈሪያት ጋር ሠነሳት አልነበረብሽም አትመጥንም,ማህዚ ከሙፈሪያት ጋር መነሳትሽ አስገርሞኛል,ሰነሳት አልነበረብሽም አትመጥንም
105,hi,इस मादरचोद को किसी मानसिक रोगी के डॉक्टर को दिखाओ,इस को किसी मानसिक रोगी के डॉक्टर को दिखाओ,बिना किसी मानसिक रोगी डॉक्टर को दिखाओ
106,de,"Schäuble zur Lage in der Türkei: ""Das erinnert mich daran, wie es in der DDR war"" Was weiß dieser Vollpfosten von der DDR 🤢","Schäuble zur Lage in der Türkei: ""Das erinnert mich daran, wie es in der DDR war"" Was weiß dieser Mensch von der DDR 🤢","<extra_id_0> Schäuble zur Lage in der Türkei: ""Das erinnert mich daran, wie es in der DDR war"" Was weiß dieser Vollpfosten von der DDR"
107,ar,كلهم اولاد قحبه تكالبو على فلسطين والاسلام بشكل خاص,كلهم تكالبو على فلسطين والاسلام بشكل خاص,<extra_id_0>هم اولاد قحبه تكالبو على فلسطين والاسلام بشكل خاص
108,hi,कीचड़ उकालने वाला नीच किस मुंह से श्रद्धांजलि दे रहा है?,कीचड़ उकालने वाला यह इंसान क्यों श्रद्धांजलि दे रहा है?,<extra_id_0> किस मुंह से श्रद्धांजलि दे रहा है?
109,uk,"Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!","Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки без Кобзона!","є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!"
110,ru,твари награждают себя. кто пойдет за них воевать. сам и путин.,Глупые награждают себя. кто пойдёт за них воевать. сам и путин.,<extra_id_0> твари награждают себя. сам и путин.
111,ru,не могут писад конституцию пускай не пишут эти пидарасв,"не могут писать конституцию, пускай не пишут",лян не могут писад конституцию пускай не пишут эти пидарасв
112,uk,"Життя хуйня, ми безмежно самотні, тому піду пекти піцу.","Життя фігня, ми безмежно самотні, тому піду пекти піцу.","<extra_id_0> ми безмежно самотні, тому піду пекти піцу."
113,ar,الف مرة قلتلك .. لا قلت مقدر! قصدي مقدر احيا يا جاهل بلاك 💙,الف مرة قلتلك .. لا قلت مقدر! قصدي مقدر احيا يا فهيم بلاك 💙,مرة قلت مقدر! قصدي مقدر احيا يا جاهل بلاك 💙
114,uk,Блядь та ну ви знущаєтесь?,та ну ви знущаєтесь?,<extra_id_0> ви знущаєтесь?
115,de,So ein Bullshit..... Du denkst es geht nicht dümmer?....dann kennst die SPDler nicht...😂😂,So ein Quatsch..... Du denkst es geht nicht schlimmer?....dann kennst die SPDler nicht...😂😂,<extra_id_0> ein Bullshit..... Du denkst es geht nicht dümmer?....dann kennst die SPDler nicht...😂😂
